n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
120,6,3,7,45,49,132.558,42,2773,10.3295,1340,10.0812,1320
120,6,3,8,45,50,196.7028,42,2693,9.4755,1470,10.0738,1418
120,6,3,9,45,51,164.2226,42,2764,9.777,1362,10.0767,1327
120,6,4,0,46,42,48.6598,37,3856,4.8826,1662,10.0863,1625
120,6,4,1,46,43,132.7925,37,3163,6.1173,1598,10.0764,1538
120,6,4,2,46,44,122.6303,37,3188,7.5596,1577,10.0744,1513
120,6,4,3,46,45,141.2176,37,3271,7.0817,1670,10.0807,1637
120,6,4,4,46,46,143.8218,37,3207,6.6709,1593,10.0693,1566
120,6,4,5,46,47,126.5869,37,3234,6.3578,1581,10.0714,1562
120,6,4,6,46,48,121.4722,37,3232,5.9301,1558,10.0688,1509
120,6,4,7,46,49,107.8508,37,3297,7.9613,1609,10.0648,1571
120,6,4,8,46,50,112.9182,37,3141,6.9035,1563,10.0833,1505
120,6,4,9,46,51,125.399,37,3179,5.5554,1645,10.0784,1567
