n_of_job,n_of_family,problem,iteration,seed1,seed2,SA_P1_time,SA_P1_bin,SA_P1_fitness,SA_CP_time,SA_CP_fitness,Tabu_P1_time,TabuA_P1_bin,Tabu_P1_fitness,Tabu_CP_time,Tabu_CP_fitness
60,6,4,1,46,43,55.6614,19,411,11.741,401,62.6779,20,371,10.1787,358
60,6,4,2,46,44,55.9621,19,416,11.7155,355,60.3849,19,386,10.1228,355
60,6,4,3,46,45,64.8804,19,402,10.1532,374,61.1238,19,372,10.1469,344
60,6,4,4,46,46,63.0873,19,397,10.1269,334,61.6296,19,388,10.1507,325
60,6,4,5,46,47,57.5292,19,379,10.1206,331,62.5562,19,376,11.8201,343
60,6,4,6,46,48,59.5226,19,413,11.7769,395,61.4233,19,386,10.1228,355
60,6,4,7,46,49,59.7033,19,410,10.1157,367,59.4832,19,386,10.1422,354
60,6,4,8,46,50,57.9519,19,379,10.1105,329,62.4439,19,371,10.1147,362
60,6,4,9,46,51,60.3531,19,375,10.0885,323,62.2484,19,388,10.077,325
120,3,0,0,42,42,211.5134,41,1464,11.8325,1340,144.0308,42,1430,10.2077,1384
120,3,0,1,42,43,204.4194,41,1629,11.7458,1432,147.8429,42,1405,10.1089,1221
120,3,0,2,42,44,206.8803,42,1489,11.9445,1343,145.9919,42,1390,10.1281,1371
120,3,0,3,42,45,213.4895,42,1516,10.1093,1449,146.6531,41,1515,11.8105,1334
120,3,0,4,42,46,214.2187,42,1385,10.1676,1273,146.4961,41,1558,11.8592,1440
120,3,0,5,42,47,205.8994,42,1401,10.1195,1369,141.139,42,1411,11.7184,1312
120,3,0,6,42,48,201.818,41,1625,10.1069,1416,151.8744,42,1360,11.7947,1270
120,3,0,7,42,49,209.0621,41,1579,10.1249,1473,146.0027,41,1518,11.7156,1395
120,3,0,8,42,50,200.0162,42,1495,10.1538,1404,146.1914,42,1442,11.6502,1363
120,3,0,9,42,51,199.2651,41,1567,11.963,1469,148.4115,42,1292,10.1145,1172
120,3,1,0,43,42,200.4754,40,914,11.8137,650,139.7782,40,811,10.1252,652
120,3,1,1,43,43,216.6965,41,1005,11.8516,689,140.1078,40,754,10.1415,589
120,3,1,2,43,44,206.3846,41,839,10.0989,571,143.3666,41,785,10.1026,564
120,3,1,3,43,45,203.7288,40,903,10.0925,665,144.7449,40,817,11.9,564
120,3,1,4,43,46,201.5198,40,957,10.1364,653,143.3833,40,778,11.8328,583
120,3,1,5,43,47,194.1526,40,841,11.7274,554,141.4811,40,941,10.1604,643
120,3,1,6,43,48,180.5861,41,903,11.8437,612,145.9746,40,852,10.1007,590
120,3,1,7,43,49,207.3773,40,927,11.9089,660,139.6292,40,779,10.0862,532
120,3,1,8,43,50,207.215,40,833,10.1446,608,147.1213,40,835,10.1385,593
120,3,1,9,43,51,193.2894,41,847,10.1019,652,149.8607,40,969,11.9894,656
120,3,2,0,44,42,218.4459,41,1937,10.1131,1592,149.8303,42,1823,10.1223,1528
120,3,2,1,44,43,210.2956,41,1724,12.1291,1421,148.0557,40,1622,10.1286,1554
120,3,2,2,44,44,169.7377,41,2108,11.8076,1644,54.51,41,1683,11.8023,1407
120,3,2,3,44,45,91.9856,41,1899,11.8553,1607,54.5026,42,1694,11.8573,1535
120,3,2,4,44,46,93.3636,40,1800,11.8319,1558,55.8624,41,1748,11.8817,1530
120,3,2,5,44,47,94.584,41,1788,11.8856,1504,56.4825,41,1798,11.9833,1542
120,3,2,6,44,48,95.8907,41,1676,10.0639,1464,58.5106,41,1741,10.0721,1385
120,3,2,7,44,49,93.1094,41,1854,10.0517,1534,54.9809,42,1738,11.8344,1450
120,3,2,8,44,50,95.4742,41,1796,10.0604,1534,57.4703,42,1495,10.0764,1379
120,3,2,9,44,51,95.9056,41,1809,10.0654,1563,58.5589,41,1581,10.0737,1476
120,3,3,0,45,42,98.3784,43,1789,10.0621,1333,57.6797,42,1873,10.0672,1553
120,3,3,1,45,43,100.4385,43,2013,10.0523,1711,58.5725,42,1911,10.0703,1454
120,3,3,2,45,44,99.7036,42,2183,11.8085,1537,58.9777,42,1781,11.8002,1459
120,3,3,3,45,45,97.3259,43,1753,10.0565,1482,59.8694,43,1630,10.0817,1376
120,3,3,4,45,46,98.5987,42,1689,10.0662,1452,59.8397,43,1504,10.0614,1366
120,3,3,5,45,47,94.6981,43,1730,10.0639,1443,60.3441,43,1741,10.0777,1506
120,3,3,6,45,48,98.6668,43,1852,11.8807,1334,57.985,42,1757,12.031,1573
120,3,3,7,45,49,94.8228,43,1920,11.9614,1516,56.7273,43,1694,12.1636,1444
120,3,3,8,45,50,94.9906,43,1589,11.8912,1329,56.5186,43,1895,11.8841,1415
120,3,3,9,45,51,100.4016,43,1699,10.0532,1400,58.9931,42,1773,10.0718,1573
120,3,4,0,46,42,84.4282,36,1238,10.0498,1094,47.0274,36,1129,12.0043,977
120,3,4,1,46,43,81.5958,36,1358,10.0521,1108,52.4454,36,1207,10.0655,1021
120,3,4,2,46,44,83.9044,36,1358,10.065,1175,47.8354,36,1203,11.9443,1018
120,3,4,3,46,45,82.3866,36,1207,10.0614,1037,50.4967,36,1335,10.0757,1108
120,3,4,4,46,46,86.4533,36,1294,10.0513,1201,49.9895,36,1176,11.9536,975
120,3,4,5,46,47,82.7277,36,1431,10.0661,1079,50.3251,36,1040,10.0784,933
120,3,4,6,46,48,84.5312,36,1205,10.0592,1019,49.9374,36,1008,11.9274,920
120,3,4,7,46,49,85.428,36,1196,10.0526,1111,51.8753,36,1012,10.0668,899
120,3,4,8,46,50,85.3975,36,1294,10.044,1034,52.643,36,1018,10.0684,892
120,3,4,9,46,51,83.0052,36,1488,11.9646,1109,47.3046,36,1015,10.0664,981
120,6,0,0,42,42,100.5177,44,1297,11.8357,1083,56.7387,44,1137,11.8565,980
120,6,0,1,42,43,97.0456,44,1457,11.8112,1316,61.5591,44,1275,10.0834,1015
120,6,0,2,42,44,100.0035,44,1330,10.053,1090,58.6756,44,1346,10.0554,1231
120,6,0,3,42,45,99.5026,44,1245,10.0524,1066,60.2661,44,1280,10.0603,1067
120,6,0,4,42,46,99.0965,44,1246,12.072,1139,58.6148,44,1173,11.7711,1001
120,6,0,5,42,47,98.8515,44,1316,10.0615,1188,59.569,44,1256,10.0674,1063
120,6,0,6,42,48,99.365,44,1283,10.0591,1119,58.8922,44,1285,10.0785,1199
120,6,0,7,42,49,101.8895,44,1402,10.0623,1244,59.2975,44,1223,11.8889,1077
120,6,0,8,42,50,96.825,44,1235,12.0669,1110,57.3825,44,1209,12.0493,1137
120,6,0,9,42,51,100.2664,44,1399,10.0577,1177,61.4762,44,1369,10.079,1157
120,6,1,0,43,42,95.3432,41,1205,10.0696,942,58.5114,41,958,10.0681,718
120,6,1,1,43,43,94.0557,41,1009,10.0468,803,56.2794,41,1046,10.0643,816
120,6,1,2,43,44,94.3317,41,1206,10.0513,893,58.8564,41,1019,10.0682,876
120,6,1,3,43,45,95.7114,41,995,10.0652,854,56.4899,41,1174,10.066,971
120,6,1,4,43,46,95.5712,41,1236,10.0603,886,57.4967,41,1065,10.0667,807
120,6,1,5,43,47,96.6712,41,1199,10.0578,914,58.6128,41,1065,10.0645,851
120,6,1,6,43,48,94.8562,41,1169,10.0599,884,58.0912,41,959,10.0709,771
120,6,1,7,43,49,97.3718,41,1294,12.2327,910,55.0453,41,999,10.0761,830
120,6,1,8,43,50,94.1502,41,1153,10.0556,858,57.3842,41,922,10.0668,732
120,6,1,9,43,51,96.3392,41,1359,11.975,950,55.7901,41,1159,11.9869,976
120,6,2,0,44,42,96.7286,45,1558,11.9712,1169,62.5242,46,1436,10.064,1149
120,6,2,1,44,43,99.0588,45,1642,10.0754,1354,60.9292,45,1481,10.0746,1219
120,6,2,2,44,44,100.0424,45,1468,10.061,1280,65.2881,45,1533,11.9275,1246
120,6,2,3,44,45,97.2826,45,1533,12.1424,1324,62.8893,45,1522,10.0557,1294
120,6,2,4,44,46,99.7846,45,1540,10.0609,1295,59.6583,45,1408,10.0616,1175
120,6,2,5,44,47,98.8513,45,1518,10.0611,1339,58.6536,46,1386,10.0649,1262
120,6,2,6,44,48,98.8144,45,1558,10.0651,1239,65.0397,46,1487,12.1317,1150
120,6,2,7,44,49,103.2026,45,1551,10.0676,1169,64.4839,46,1488,10.0703,1199
120,6,2,8,44,50,97.886,45,1550,10.0609,1263,61.3457,45,1431,10.0813,1207
120,6,2,9,44,51,100.34,45,1492,12.0857,1259,61.4929,46,1587,12.0849,1273
