n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
60,3,3,3,45,45,67.8448,26,697,4.8432,574,32.2562,26,697,2.2909,603,34.4187,26,678,3.138,613,10.0717,609
60,3,3,4,45,46,16.6043,26,789,3.0963,681,44.3614,26,678,2.2051,608,27.4443,26,676,3.8129,560,12.8878,556
60,3,3,5,45,47,18.8159,26,788,2.1743,628,32.0986,26,683,2.178,600,41.003,26,658,2.3513,583,12.1875,585
60,3,3,6,45,48,52.734,26,701,5.5902,605,58.3181,26,658,2.5402,576,40.5357,26,670,2.5259,587,12.4708,590
60,3,3,7,45,49,28.5225,26,765,3.7894,617,40.9532,26,676,2.5253,564,42.0327,26,666,2.1216,589,12.6464,586
60,3,3,8,45,50,24.236,26,733,4.2886,584,43.686,26,692,2.8925,604,53.3127,26,657,3.1925,589,12.5647,583
60,3,3,9,45,51,18.5839,26,784,6.4625,641,26.7298,26,692,2.1298,611,36.2725,26,676,2.2134,579,12.6603,566
60,3,4,0,46,42,17.657,19,374,2.6321,351,42.4522,19,346,1.8704,331,45.8305,19,324,1.9881,302,10.0776,302
60,3,4,1,46,43,12.6303,19,392,2.4437,324,35.9782,19,326,1.7434,297,41.7072,19,332,1.3284,313,10.0684,300
60,3,4,2,46,44,19.396,19,381,1.6731,346,33.5508,19,351,2.1299,333,31.5547,19,335,2.1165,323,10.0837,319
60,3,4,3,46,45,22.6665,19,384,1.6073,344,42.5264,19,322,1.8548,319,39.9813,19,341,4.7132,330,10.0795,321
60,3,4,4,46,46,11.913,19,393,1.9314,360,36.8505,19,324,1.643,311,28.5696,19,334,1.9825,297,12.7493,293
60,3,4,5,46,47,15.9621,19,374,2.7653,333,32.1231,19,318,1.6552,309,37.1501,19,337,1.8495,326,12.7992,322
60,3,4,6,46,48,11.5965,19,371,2.9924,311,35.3171,19,335,1.6286,314,32.1004,19,324,2.2587,306,10.0793,296
60,3,4,7,46,49,28.9084,19,376,3.513,325,17.6216,19,366,1.7279,344,42.2304,19,330,1.6884,306,10.0797,299
60,3,4,8,46,50,23.9866,19,380,3.1546,332,40.2268,19,341,2.531,318,39.9217,19,337,1.931,316,10.0923,313
60,3,4,9,46,51,44.2377,19,368,2.0087,333,37.3614,19,340,2.1974,320,41.0166,19,334,1.8831,297,10.0795,293
60,6,0,0,42,42,25.2875,25,470,3.0474,435,23.881,25,464,4.4491,423,19.7031,25,482,2.9219,421,12.3486,408
60,6,0,1,42,43,53.8001,25,466,6.9783,434,37.2452,25,448,0.9835,448,31.3169,25,461,2.0929,414,12.309,407
60,6,0,2,42,44,30.2296,25,467,3.4445,439,37.9498,25,455,2.2892,429,40.2349,25,443,1.8581,441,11.4742,425
60,6,0,3,42,45,52.148,25,449,4.1917,425,28.9634,25,455,1.0049,455,42.7693,25,454,2.8455,431,10.0802,424
60,6,0,4,42,46,26.8331,25,465,0.9864,465,47.1573,25,454,6.3807,418,25.1103,25,460,3.7584,421,12.49,416
60,6,0,5,42,47,15.5249,25,489,3.497,453,32.6615,25,451,2.1299,419,26.7837,25,474,3.1772,422,12.6162,416
60,6,0,6,42,48,14.4871,25,483,2.0924,442,18.0333,25,478,3.3659,434,40.0309,25,441,1.802,438,10.07,416
60,6,0,7,42,49,20.7094,25,494,2.1517,430,45.5021,25,434,2.5474,421,31.5368,25,450,1.9474,435,10.0621,416
60,6,0,8,42,50,39.4405,25,449,1.0409,449,38.51,25,471,1.9541,444,40.1814,25,440,2.5673,426,10.0818,418
60,6,0,9,42,51,13.9792,25,501,2.7941,452,47.3732,25,448,3.2447,430,36.0806,25,455,2.1396,432,10.0761,418
60,6,1,0,43,42,18.7449,24,315,2.6489,273,29.2565,24,299,2.928,244,28.8642,24,309,3.7872,258,10.0769,231
60,6,1,1,43,43,15.8238,24,296,5.137,245,29.2094,24,309,5.6929,240,47.1354,24,303,3.3049,236,10.0751,230
60,6,1,2,43,44,21.8932,24,317,2.9768,264,29.3744,24,309,2.7612,243,17.3413,24,308,5.6828,260,10.0647,240
60,6,1,3,43,45,16.7139,24,325,2.6133,284,47.6763,24,292,3.0709,244,37.8157,24,303,3.1892,248,10.0772,240
60,6,1,4,43,46,20.5752,24,313,4.0529,251,20.5383,24,317,2.6886,253,17.3816,24,318,2.4732,278,12.8526,272
60,6,1,5,43,47,25.0755,24,314,8.0263,259,22.7307,24,297,1.9364,279,46.7986,24,296,2.6255,243,10.0659,228
60,6,1,6,43,48,27.0669,24,306,2.1469,266,27.2124,24,302,3.3552,234,18.2745,24,322,2.8823,258,10.076,237
60,6,1,7,43,49,32.0612,24,309,3.9111,241,52.8769,24,283,2.0155,259,30.5505,24,309,2.8035,240,10.0852,229
60,6,1,8,43,50,23.3155,24,316,2.9833,252,36.3104,24,288,2.4425,269,31.4396,24,305,2.2314,234,10.0749,221
60,6,1,9,43,51,28.8315,24,301,5.4258,239,16.7833,24,319,3.4858,265,25.3488,24,297,5.0234,238,10.0797,225
60,6,2,0,44,42,31.7643,23,374,4.0765,329,45.8523,23,350,1.0279,350,34.0447,23,352,2.2201,332,10.0765,322
60,6,2,1,44,43,18.869,23,396,4.4502,337,41.7317,23,365,2.5947,326,30.3853,23,368,2.469,329,10.08,320
60,6,2,2,44,44,60.1351,23,360,1.0098,360,35.7486,23,367,2.3524,337,20.4405,23,357,1.7055,326,12.3071,308
60,6,2,3,44,45,38.6987,23,371,3.9216,337,35.8155,23,347,1.4711,335,36.8518,23,345,1.6972,338,12.2963,322
60,6,2,4,44,46,30.4489,23,362,2.9195,328,22.7208,23,364,2.3424,323,33.5482,23,345,2.3921,331,12.3584,322
60,6,2,5,44,47,36.4207,23,373,2.4785,325,40.4373,23,366,3.7572,327,31.5007,23,355,2.6732,337,10.0671,327
60,6,2,6,44,48,42.366,23,371,1.1423,371,33.5775,23,345,2.0661,331,32.3075,23,352,2.9574,332,10.0681,322
60,6,2,7,44,49,32.0594,23,372,3.547,335,23.5125,23,364,2.0425,319,27.4328,23,377,2.6421,321,12.3243,309
60,6,2,8,44,50,25.3267,23,371,5.5828,332,25.6975,23,355,2.3103,336,45.262,23,345,2.3133,324,10.0728,322
60,6,2,9,44,51,11.3815,23,426,7.8353,355,16.4192,23,374,1.8585,349,31.0658,23,361,2.1411,323,10.0712,308
60,6,3,0,45,42,36.4294,28,521,6.4844,435,26.2409,28,520,2.8757,445,42.6942,28,491,3.5094,442,10.0704,421
60,6,3,1,45,43,25.0755,28,526,5.3482,456,43.1314,28,505,3.7901,429,28.0575,28,513,2.962,459,10.0831,461
60,6,3,2,45,44,17.8749,28,528,6.1381,450,29.3286,28,521,3.3368,473,37.4392,28,507,2.5658,464,12.504,441
60,6,3,3,45,45,25.3048,28,511,1.144,511,35.4493,28,491,4.7034,445,41.8868,28,497,2.8735,419,10.0713,402
60,6,3,4,45,46,25.5209,28,507,3.9698,455,13.4688,28,529,2.877,457,37.6621,28,491,3.6587,449,12.5926,425
60,6,3,5,45,47,17.2139,28,531,3.72,467,19.5975,28,513,2.8307,439,31.0358,28,509,2.1763,423,10.0719,402
60,6,3,6,45,48,26.2256,28,515,3.224,472,25.7594,28,506,2.5667,470,32.6639,28,490,2.9854,456,10.0634,434
60,6,3,7,45,49,35.0549,28,510,3.532,436,11.6678,28,542,4.0286,444,28.1618,28,513,2.6002,455,10.0796,455
60,6,3,8,45,50,23.2736,28,519,4.3791,430,17.7767,28,530,2.8133,489,28.9658,28,519,2.4321,413,10.0791,399
60,6,3,9,45,51,26.0491,28,532,5.755,450,33.77,28,494,2.0361,475,28.6669,28,483,2.7742,426,10.0799,417
60,6,4,0,46,42,45.8533,19,379,1.9331,327,21.3812,19,374,1.6151,365,31.7564,19,379,1.5157,327,10.0737,331
60,6,4,1,46,43,28.5588,19,383,1.629,331,21.2889,19,385,1.723,320,33.8001,19,384,1.5493,335,10.0742,339
60,6,4,2,46,44,42.6788,19,379,1.9028,327,19.1362,19,382,1.4502,346,26.7838,19,383,1.3456,323,10.0724,325
